1.53	466.729	356.125	360.071
1.54	486.912	371.083	374.801
1.55	507.819	386.559	390.063
1.56	529.251	402.415	405.628
1.57	551.22	418.603	421.452
1.58	573.614	435.059	437.575
1.59	596.646	451.968	454.183
1.6	620.523	469.521	471.398
1.61	645.508	487.829	489.14
1.62	670.711	506.21	507.095
1.63	696.004	524.64	524.875
1.64	722.536	543.923	543.562
1.65	749.668	563.608	562.616
1.66	778.092	584.221	582.57
1.67	806.417	604.649	602.333
1.68	835.382	625.577	622.465
1.69	865.463	647.313	643.134
1.7	896.09	669.316	664.362
1.71	927.377	691.795	685.936
1.72	959.816	715.08	708.213
1.73	993.044	738.828	730.762
1.74	1025.66	761.992	752.621
1.75	1060.84	787.074	776.663
1.76	1096.22	812.139	800.635
1.77	1130.82	836.661	823.729
1.78	1168.38	863.228	848.935
1.79	1205.64	889.299	873.73
1.8	1243.38	915.655	898.973
1.81	1283.23	943.478	925.493
1.82	1322.27	970.399	950.882
1.83	1363.44	998.875	977.961
1.84	1404.52	1027.05	1004.51
1.85	1446.8	1056.02	1032.26
1.86	1490.04	1085.6	1060.32
1.87	1534.42	1115.89	1088.83
1.88	1579.03	1146.3	1117.59
1.89	1623.98	1176.71	1146.4
1.9	1671.39	1208.72	1176.68
1.91	1718.28	1240.27	1206.44
1.92	1766.79	1272.99	1237.03
1.93	1815.74	1305.84	1256.56
1.94	1865.7	1339.29	1287.72
1.95	1917.39	1373.63	1318.89
1.96	1968.46	1407.57	1350.49
1.97	2022.03	1442.9	1382.7
1.98	2075.01	1477.77	1415.36
1.99	2130.52	1514.06	1448.61
2	2185.13	1549.7	1495.13
2.01	2242.37	1586.97	1529.35
2.02	2299	1624.02	1564.2
2.03	2358.31	1662.63	1599.38
2.04	2416.53	1700.89	1634.37
2.05	2479.03	1741.74	1671.36
2.06	2537.72	1779.98	1706.27
2.07	2602.76	1822.16	1745.04
2.08	2661.99	1860.16	1780.02
2.09	2730.08	1903.78	1820.82
2.1	2791.11	1942.37	1856.75
2.11	2862.03	1987.41	1899.23
2.12	2924.95	2026.82	1936.02
2.13	2996.78	2071.95	1978.23
2.14	3063.05	2113.46	2015.68
2.15	3134.81	2158.23	2057.23
2.16	3206.29	2202.61	2097.56
2.17	3278.02	2247.14	2138.3
2.18	3353.04	2293.26	2180.66
2.19	3425.23	2336.91	2220.51
2.2	3503.4	2384.26	2265.03
2.21	3577.61	2428.64	2305.58
2.22	3659.08	2477.76	2351.59
2.23	3733.25	2521.64	2392.05
2.24	3816.54	2571.11	2437.72
